напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, еди-новременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Предста-вительские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследова-тельских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставлению услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровитель-ной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследовате-льские и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
   производство пищевых продуктов	2 176 	13 744 919 293 	583 672 459 	469 638 919 	344 462 703 	3 434 599 	368 148 	5 912 317 	45 303 	4 033 	10 434 	25 108 	12 509 	5 885 	79 577 	17 879 	2 851 	2 689 	2 359 	2 359 	133 567 	21 841 	22 194 	22 194 	3 361 006 	142 989 	6 883 837 	16 294 484 	1 951 525 	11 319 368 	66 421 322 	7 544 
   производство напитков	277 	2 135 928 984 	106 652 861 	103 045 553 	60 180 216 	223 156 	-	232 977 	2 352 	-	-	53 221 	-	-	18 169 	2 098 	-	-	16 033 	16 033 	12 248 	6 684 	-	-	923 630 	24 288 	711 209 	1 192 709 	220 570 	1 679 625 	31 747 321 	1 009 
   производство табачных изделий	17 	417 597 068 	8 831 291 	8 775 026 	7 236 678 	1 431 588 	2 670 	47 446 	-	-	-	-	-	-	14 133 	14 133 	-	-	5 297 	5 297 	28 016 	28 016 	-	-	1 219 808 	4 210 	41 912 	-	42 807 	565 057 	71 867 	230 
   производство текстильных изделий	201 	551 331 282 	29 893 692 	29 420 843 	15 680 735 	153 091 	437 906 	30 020 	1 363 	-	-	-	-	-	2 112 	1 885 	-	-	-	-	19 	19 	-	-	141 646 	2 548 	125 708 	-	96 839 	1 465 521 	1 419 548 	41 938 
  производство одежды	182 	497 153 291 	8 603 153 	8 355 427 	6 730 141 	121 746 	735 919 	131 535 	1 048 	-	2 684 	-	-	-	735 	69 	10 679 	10 679 	55 	55 	7 111 	5 904 	-	-	101 339 	1 759 	576 588 	367 012 	90 728 	563 097 	732 141 	15 
   производство кожи и изделий из кожи	66 	112 292 394 	2 350 955 	2 350 955 	2 093 189 	5 987 	229 122 	60 422 	4 218 	-	-	2 641 	-	-	2 371 	-	-	-	-	-	-	-	-	-	47 794 	1 184 	50 683 	-	13 182 	122 195 	74 716 	-
   обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения	370 	1 068 395 582 	48 475 205 	43 798 756 	36 416 321 	408 135 	13 214 	236 906 	23 644 	-	1 412 	21 241 	-	12 238 	40 252 	3 730 	-	-	8 479 	949 	615 	172 	-	-	568 604 	51 283 	573 492 	8 548 005 	59 995 	2 246 263 	1 299 039 	178 
   производство бумаги и бумажных изделий	273 	2 280 087 232 	121 091 585 	106 859 268 	87 635 043 	607 237 	2 056 	760 475 	88 978 	-	-	193 647 	-	2 563 	203 469 	43 673 	-	-	21 839 	11 717 	2 408 	2 408 	13 241 	4 667 	2 235 614 	98 646 	1 941 914 	3 049 710 	303 054 	2 570 267 	6 374 351 	-
   деятельность полиграфическая и копирование носителей информации	186 	382 989 065 	18 329 959 	13 331 387 	10 167 170 	133 792 	316 358 	396 403 	55 822 	-	2 604 	2 783 	-	-	155 782 	29 307 	-	-	1 970 	-	-	-	-	-	213 270 	6 794 	288 582 	23 145 299 	42 569 	487 560 	280 761 	-
   производство кокса и нефтепродуктов	125 	41 595 284 653 	2 104 320 787 	1 667 387 407 	992 847 097 	31 878 406 	5 167 519 	4 222 612 	478 079 	-	307 005 	94 776 	18 911 	17 675 	819 738 	214 102 	406 629 	106 710 	197 311 	27 661 	54 568 	9 389 	48 761 	-	9 654 532 	2 039 907 	22 790 868 	336 980 	277 163 	15 529 817 	28 042 636 	-
