напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств за счет прибыли на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представитель-ские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследоватеьских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровитель-ной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставле-нию услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследователькие и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
   производство напитков	86 	56 569 840 	2 250 192 	2 243 185 	2 225 428 	6 567 	-	12 263 	341 	-	-	4 226 	-	-	-	-	-	-	-	-	5 406 	5 406 	-	-	299 356 	11 479 	542 953 	-	20 754 	89 170 	1 195 295 	-
   производство табачных изделий	9 	369 613 	-	-	-	-	-	6 801 	-	-	-	-	-	-	-	-	-	-	5 297 	5 297 	1 504 	1 504 	-	-	251 353 	3 790 	37 156 	-	29 677 	-	-	230 
  производство текстильных изделий	68 	1 764 405 	582 777 	582 624 	490 365 	1 097 	-	9 319 	38 	-	-	-	-	-	2 112 	1 885 	-	-	-	-	-	-	-	-	30 364 	1 590 	90 404 	-	65 110 	5 402 	2 038 	-
  производство одежды	59 	42 704 238 	100 690 	100 690 	100 365 	325 	-	16 831 	8 	-	-	-	-	-	-	-	2 704 	2 704 	55 	55 	-	-	-	-	42 766 	1 759 	48 155 	-	22 456 	72 402 	69 006 	15 
   производство кожи и изделий из кожи	22 	918 089 	57 104 	57 104 	57 104 	-	-	9 794 	1 115 	-	-	2 641 	-	-	22 	-	-	-	-	-	-	-	-	-	35 484 	1 089 	42 454 	-	3 762 	4 752 	141 	-
  обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения	111 	41 270 625 	2 378 966 	2 369 410 	2 010 954 	48 675 	-	98 156 	10 919 	-	1 412 	21 241 	-	12 132 	36 290 	3 730 	-	-	4 532 	-	-	-	-	-	184 009 	30 076 	258 062 	-	7 517 	739 413 	57 960 	-
   производство бумаги и бумажных изделий	104 	43 282 051 	7 361 905 	7 361 905 	5 901 897 	-	-	229 792 	9 760 	-	-	152 143 	-	-	2 642 	1 380 	-	-	9 989 	9 894 	-	-	-	-	617 927 	86 784 	1 456 255 	-	78 355 	227 222 	52 393 	-
    деятельность полиграфическая и копирование носителей информации	58 	32 890 954 	2 803 808 	1 888 883 	1 882 136 	15 	-	2 993 	-	-	2 604 	-	-	-	389 	-	-	-	-	-	-	-	-	-	31 633 	4 654 	256 900 	-	8 203 	35 559 	11 421 	-
   производство кокса и нефтепродуктов	52 	257 567 171 	8 406 083 	8 406 083 	8 406 083 	-	-	7 775 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3 678 799 	1 341 514 	7 309 699 	10 916 	7 838 	52 939 	27 186 	-
      производство кокса	8 	10 483 047 	-	-	-	-	-	7 775 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36 115 	2 762 	53 647 	-	105 	4 732 	-	-
     производство нефтепродуктов	43 	247 074 000 	8 406 083 	8 406 083 	8 406 083 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3 642 684 	1 338 752 	7 245 928 	10 916 	7 733 	48 207 	27 186 	-
   производство химических веществ и химических продуктов	322 	697 124 683 	64 750 788 	64 675 781 	63 966 924 	67 461 	410 188 	2 075 828 	400 059 	9 989 	165 571 	115 219 	492 	7 387 	285 477 	5 294 	59 923 	20 095 	53 417 	12 161 	2 338 	2 338 	921 	302 	2 980 715 	438 609 	8 577 743 	555 381 	217 659 	8 491 054 	436 594 	20 083 
   производство лекарственных средств и материалов, применяемых в медицинских целях	78 	49 498 785 	9 061 654 	8 494 176 	5 731 201 	13 277 	819 902 	91 680 	-	31 347 	39 182 	1 386 	-	6 490 	7 077 	7 077 	-	-	-	-	-	-	-	-	551 243 	53 077 	253 300 	-	41 038 	54 885 	49 189 	-
   производство резиновых и пластмассовых изделий	247 	55 892 040 	4 731 382 	4 666 088 	4 273 007 	22 591 	417 	20 159 	767 	-	-	7 449 	-	1 071 	1 440 	-	-	-	573 	573 	246 	-	-	-	363 064 	56 497 	415 938 	27 613 	95 806 	158 867 	231 694 	180 
   производство прочей неметаллической минеральной продукции	408 	150 327 566 	15 517 197 	14 996 017 	7 742 897 	20 542 	11 899 	265 229 	6 775 	-	13 356 	24 027 	242 	3 676 	9 456 	1 152 	13 935 	6 634 	154 	-	-	-	10 934 	-	1 101 338 	100 575 	2 519 912 	-	121 207 	564 515 	84 539 	646 
  производство металлургическое	203 	716 025 612 	9 085 151 	9 084 549 	8 046 093 	15 967 	3 398 	2 286 200 	113 267 	-	599 458 	508 492 	608 	81 317 	68 991 	3 337 	92 291 	936 	189 510 	1 744 	17 159 	169 	8 360 	2 708 	5 259 832 	1 807 287 	16 667 089 	-	112 613 	345 244 	22 137 	1 001 
   производство готовых металлических изделий, кроме машин и оборудования	439 	143 027 017 	19 831 308 	18 945 419 	17 264 856 	342 933 	1 101 209 	2 165 957 	166 202 	-	284 859 	533 710 	1 718 	73 560 	138 368 	17 216 	416 650 	18 671 	59 946 	16 124 	175 	175 	5 100 	2 597 	2 732 738 	246 260 	2 033 890 	-	179 515 	321 287 	169 394 	-
  производство компьютеров, электронных и оптических изделий	339 	57 112 023 	11 005 602 	10 857 933 	10 043 778 	143 617 	290 824 	791 976 	202 043 	3 237 	113 876 	84 767 	25 188 	31 691 	74 832 	17 391 	8 943 	2 657 	58 785 	5 819 	1 136 	759 	44 296 	3 136 	1 845 513 	111 776 	906 296 	7 586 	99 333 	355 344 	37 100 	1 050 
  производство электрического оборудования	262 	26 826 705 	3 497 213 	3 345 656 	2 614 260 	16 640 	14 724 	228 911 	28 319 	12 478 	45 125 	33 878 	-	28 981 	7 411 	4 403 	41 883 	1 516 	5 856 	143 	-	-	86 	-	665 328 	26 308 	634 113 	-	47 002 	105 381 	7 624 	1 527 
   производство машин и оборудования, не включенных в другие группировки	414 	81 385 442 	26 534 500 	26 518 667 	4 152 855 	63 422 	26 398 	317 603 	60 794 	-	113 769 	33 136 	-	971 	12 659 	4 857 	5 427 	-	11 994 	539 	384 	384 	1 005 	-	1 146 532 	90 896 	866 668 	37 690 	97 216 	402 134 	66 328 	35 
  производство автотранспортных средств, прицепов и полуприцепов	182 	29 122 623 	1 294 604 	1 248 054 	1 142 244 	25 787 	8 172 	71 541 	11 291 	-	3 429 	4 716 	883 	-	6 148 	2 021 	500 	500 	1 956 	684 	1 454 	1 454 	23 120 	23 120 	529 454 	52 883 	450 032 	-	40 080 	96 974 	93 232 	-
