У меня есть данные таблицы "Финансовые вложения организаций" в виде скопированного текста из Excel. Структура такая: строки — категории вложений, столбцы — годы (2014–2025), каждый год делится на 3 значения: Всего, Долгосрочные, Краткосрочные.
Напиши SQL-скрипт:
1. `CREATE TABLE` с колонками: `category` (TEXT), `year` (INT), `total` (DECIMAL), `long_term` (DECIMAL), `short_term` (DECIMAL)
2. `INSERT INTO` со всеми данными из таблицы ниже 
Данные:
	2014			2015			2016			2017			2018			2019			2020			2021			2022			2023			2024			2025		
	Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе		Всего	в том числе	
		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-		долго-	кратко-
		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные		срочные 	срочные
Финансовые вложения - всего	78 604,4 	9 805,4 	68 799,0 	127 113,6 	13 804,1 	113 309,5 	136 718,9 	15 517,2 	121 201,7 	165 669,2 	18 586,5 	147 082,7 	246 503,4 	32 636,1 	213 867,3 	247 228,9 	22 570,9 	224 658,0 	306 081,4 	32 544,1 	273 537,3 	390 942,5 	49 953,9 	340 988,6 	439 004,3 	25 111,2 	413 893,1 	557 410,7 	36 801,6 	520 609,1 	687 076,9 	47 005,6 	640 071,3 	881 195,2	64 662,3	816 532,9
в том числе: в паи и акции и другие формы участия в капитале	10 760,4 	3 292,0 	7 468,4 	14 860,8 	4 327,1 	10 533,7 	20 907,5 	6 170,6 	14 736,9 	25 013,3 	6 364,0 	18 649,3 	22 618,3 	14 354,6 	8 263,7 	15 117,5 	6 287,3 	8 830,2 	26 593,0 	14 306,7 	12 286,3 	29 575,6 	12 542,6 	17 033,0 	21 555,8 	10 820,5 	10 735,3 	33 500,1 	13 397,5 	20 102,6 	40 844,6 	16 146,6 	24 698,0 	100 926,6	22 941,9	77 984,7
в долговые ценные бумаги и депозитные сертификаты	10 611,1 	1 229,3 	9 381,8 	18 786,6 	2 737,7 	16 048,9 	28 610,4 	2 504,7 	26 105,7 	42 029,8 	4 764,6 	37 265,2 	52 538,0 	7 148,0 	45 390,0 	49 907,5 	6 135,7 	43 771,8 	44 776,3 	3 511,5 	41 264,8 	52 624,0 	22 345,0 	30 279,0 	60 402,1 	1 058,6 	59 343,5 	59 566,4 	2 846,6 	56 719,8 	79 185,4 	5 891,8 	73 293,6 	132 106,2	17 899,9	114 206,3
предоставленные займы	14 549,3 	4 525,0 	10 024,3 	19 431,2 	4 923,4 	14 507,8 	19 888,4 	5 164,2 	14 724,2 	25 125,7 	5 541,4 	19 584,3 	54 272,2 	7 808,5 	46 463,7 	49 489,7 	7 602,6 	41 887,1 	62 866,6 	9 603,4 	53 263,2 	77 792,1 	10 439,8 	67 352,3 	73 483,0 	10 514,8 	62 968,2 	84 921,2 	15 647,0 	69 274,2 	96 317,6 	20 532,4 	75 785,2 	163 254,1	19 462,8	143 791,3
банковские вклады	33 597,0 	407,4 	33 189,6 	64 229,1 	1 384,8 	62 844,3 	55 871,4 	1 378,8 	54 492,6 	63 069,8 	1 651,7 	61 418,1 	97 151,4 	2 498,6 	94 652,8 	110 404,3 	1 562,0 	108 842,3 	142 897,9 	3 633,5 	139 264,4 	182 125,5 	3 369,6 	178 755,9 	253 281,7 	1 482,3 	251 799,4 	337 087,1 	3 563,8 	333 523,3 	410 370,7 	3 000,4 	407 370,3 	421 132,7	2 773,3	418 359,4
прочие	9 086,6 	351,7 	8 734,9 	9 805,9 	431,1 	9 374,8 	11 441,2 	298,9 	11 142,3 	10 430,6 	264,8 	10 165,8 	19 923,5 	826,4 	19 097,1 	22 309,9 	983,3 	21 326,6 	28 947,6 	1 489,0 	27 458,6 	48 825,3 	1 256,9 	47 568,4 	30 281,7 	1 235,0 	29 046,7 	42 335,9 	1 346,7 	40 989,2 	60 358,6 	1 434,4 	58 924,2 	63 775,6	1 584,4	62 191,2
